model,model_label,count,test_acc_mean,test_acc_std,test_f1_mean,test_f1_std,best_dev_f1_mean,best_dev_f1_std,best_epoch_mean,best_epoch_std,elapsed_mean,elapsed_std,params_mean,group,text_backbone,text_backbone_label,audio_backbone,audio_backbone_label,video_backbone,video_backbone_label,d_model,num_experts,text_cfg
variant1,MoE Mamba Experts,55,0.5351,0.0617,0.5077,0.0655,0.4903,0.0613,7.3636,4.2224,980.2545,475.4089,768,by_model,,,,,,,,,
variant2,Modality Specialists,66,0.5388,0.0615,0.5033,0.0726,0.4776,0.0735,8.4394,4.4137,1009.5697,606.7004,768,by_model,,,,,,,,,
variant3,Hierarchical MoE,66,0.531,0.0687,0.5017,0.0698,0.4833,0.0683,7.1515,4.1593,659.7848,319.9463,768,by_model,,,,,,,,,
variant4,Context Conditioned,66,0.5282,0.0658,0.4995,0.0677,0.4834,0.0614,10.4091,5.12,505.1061,228.5896,768,by_model,,,,,,,,,
,,46,0.5728,0.0328,0.5455,0.031,0.5238,0.0272,6.6087,2.9475,712.9413,482.8873,768,by_text_backbone,TFE-A,RoBERTa-Base,,,,,,,
,,46,0.5604,0.0244,0.5316,0.0242,0.5111,0.0213,7.7174,3.4619,755.4283,473.2242,1024,by_text_backbone,TFE-B,RoBERTa-Large,,,,,,,
,,115,0.4815,0.0547,0.4466,0.0575,0.4295,0.0577,9.3478,5.382,813.433,486.2371,1024,by_text_backbone,TFE-C,DeBERTa-v3,,,,,,,
,,23,0.6156,0.0111,0.5971,0.0096,0.5687,0.0105,8.1304,3.2795,796.9913,494.6471,1024,by_text_backbone,TFE-D,BERT-Large,,,,,,,
,,23,0.5753,0.0259,0.5473,0.0192,0.5309,0.018,8.6957,5.8031,782.9478,453.7579,1024,by_text_backbone,TFE-E,Electra-Large,,,,,,,
,,230,0.5478,0.0455,0.5189,0.0482,0.4989,0.0455,7.6652,3.9402,756.6404,467.8922,768,by_audio_backbone,,,AFE-B,WavLM-Large,,,,,
,,23,0.3867,0.0354,0.3423,0.0164,0.3275,0.0282,15.5652,5.3328,1017.4391,533.0065,1024,by_audio_backbone,,,AFE-C,AFE-C-1024,,,,,
,,230,0.5372,0.0658,0.5072,0.0705,0.4868,0.0685,8.4174,4.6652,781.1813,481.4585,768,by_video_backbone,,,,,VFE-A,ResNet50,,,
,,23,0.493,0.022,0.4601,0.0159,0.4487,0.0108,8.0435,4.7623,772.0304,463.2481,1024,by_video_backbone,,,,,VFE-B,VFE-B-1792,,,
,,88,0.5379,0.0655,0.5087,0.0671,0.4907,0.0622,7.2955,3.5692,484.7477,159.7714,768,by_d_model,,,,,,,256.0,,
,,88,0.5348,0.0666,0.5071,0.0682,0.4882,0.063,8.0568,4.6321,665.6318,285.4886,768,by_d_model,,,,,,,512.0,,
,,77,0.5259,0.0606,0.4914,0.0706,0.4694,0.0729,10.0,5.3754,1249.2857,546.6888,768,by_d_model,,,,,,,1024.0,,
,,132,0.5315,0.0639,0.5032,0.0669,0.4841,0.0646,8.5455,4.9291,747.7492,469.3593,768,by_num_experts,,,,,,,,8.0,
,,121,0.535,0.0651,0.5025,0.071,0.4825,0.0684,8.2066,4.374,815.9132,488.6483,768,by_num_experts,,,,,,,,16.0,
variant1,,22,0.5373,0.0639,0.5091,0.0672,0.4916,0.0621,7.0909,3.6241,644.2045,141.0224,768,by_model_dmodel,,,,,,,256.0,,
variant1,,22,0.5363,0.0618,0.5097,0.0665,0.4917,0.0632,7.2727,4.0729,942.8773,213.2447,768,by_model_dmodel,,,,,,,512.0,,
variant1,,11,0.5282,0.0625,0.501,0.0655,0.4849,0.0614,8.0909,5.7525,1727.1091,467.0404,768,by_model_dmodel,,,,,,,1024.0,,
variant2,,22,0.5412,0.0708,0.5132,0.069,0.4921,0.0621,6.5909,4.0433,517.7318,151.585,768,by_model_dmodel,,,,,,,256.0,,
variant2,,22,0.5354,0.0694,0.5068,0.0704,0.4842,0.0632,7.5455,3.9848,780.8364,263.8091,768,by_model_dmodel,,,,,,,512.0,,
variant2,,22,0.5398,0.0433,0.4899,0.0794,0.4565,0.0902,11.1818,3.9718,1730.1409,441.086,768,by_model_dmodel,,,,,,,1024.0,,
variant3,,22,0.5417,0.0673,0.5112,0.0726,0.4944,0.0681,7.0455,2.7512,428.2364,73.5448,768,by_model_dmodel,,,,,,,256.0,,
variant3,,22,0.5376,0.0717,0.508,0.0711,0.4862,0.0699,6.8636,4.0508,542.9773,147.1978,768,by_model_dmodel,,,,,,,512.0,,
variant3,,22,0.5137,0.0667,0.486,0.066,0.4693,0.0677,7.5455,5.4136,1008.1409,303.6082,768,by_model_dmodel,,,,,,,1024.0,,
variant4,,22,0.5315,0.0639,0.5013,0.0634,0.4847,0.0601,8.4545,3.6998,348.8182,83.6708,768,by_model_dmodel,,,,,,,256.0,,
variant4,,22,0.5299,0.0674,0.504,0.0695,0.4907,0.0592,10.5455,5.5783,395.8364,120.3205,768,by_model_dmodel,,,,,,,512.0,,
variant4,,22,0.523,0.0687,0.4934,0.0726,0.4748,0.0664,12.2273,5.3713,770.6636,168.1721,768,by_model_dmodel,,,,,,,1024.0,,
variant1,,33,0.5335,0.0638,0.5054,0.0659,0.4882,0.0623,7.8485,4.887,1073.1091,575.8707,768,by_model_experts,,,,,,,,8.0,
variant1,,22,0.5374,0.0598,0.5112,0.0662,0.4933,0.0611,6.6364,2.9203,840.9727,204.8642,768,by_model_experts,,,,,,,,16.0,
variant2,,33,0.5409,0.0597,0.5075,0.0682,0.4788,0.0685,8.0303,4.4475,821.5788,483.2275,768,by_model_experts,,,,,,,,8.0,
variant2,,33,0.5367,0.0642,0.4992,0.0777,0.4763,0.0792,8.8485,4.4097,1197.5606,664.2851,768,by_model_experts,,,,,,,,16.0,
variant3,,33,0.5285,0.0653,0.5026,0.0661,0.4858,0.0671,7.4545,4.1615,596.3727,283.144,768,by_model_experts,,,,,,,,8.0,
variant3,,33,0.5335,0.0729,0.5008,0.0743,0.4808,0.0705,6.8485,4.1991,723.197,345.6389,768,by_model_experts,,,,,,,,16.0,
variant4,,33,0.523,0.0682,0.4973,0.07,0.4836,0.0628,10.8485,5.5684,499.9364,234.0721,768,by_model_experts,,,,,,,,8.0,
variant4,,33,0.5334,0.064,0.5018,0.0663,0.4832,0.061,9.9697,4.6736,510.2758,226.4828,768,by_model_experts,,,,,,,,16.0,
variant1,,10,0.5771,0.0385,0.551,0.0371,0.5272,0.0334,5.2,1.0328,836.41,330.6395,768,by_text_model,TFE-A,,,,,,,,
variant2,,12,0.573,0.025,0.5461,0.0168,0.5256,0.0161,8.0,4.4721,1021.3917,729.7959,768,by_text_model,TFE-A,,,,,,,,
variant3,,12,0.5739,0.0339,0.5445,0.0345,0.5237,0.0316,6.0,1.954,605.65,254.3042,768,by_text_model,TFE-A,,,,,,,,
variant4,,12,0.5679,0.037,0.5412,0.0357,0.5192,0.0285,7.0,2.5226,408.8917,190.1119,768,by_text_model,TFE-A,,,,,,,,
variant1,,10,0.5582,0.0233,0.5305,0.0225,0.5148,0.0172,6.4,2.5906,924.02,464.0714,1024,by_text_model,TFE-B,,,,,,,,
variant2,,12,0.5694,0.0185,0.5389,0.0128,0.5047,0.0137,8.25,4.0028,1015.7917,677.936,1024,by_text_model,TFE-B,,,,,,,,
variant3,,12,0.5595,0.0207,0.5305,0.0258,0.5141,0.0261,6.0,2.132,603.5167,206.3364,1024,by_text_model,TFE-B,,,,,,,,
variant4,,12,0.5541,0.033,0.5262,0.0326,0.5114,0.0262,10.0,3.4902,506.4833,212.5369,1024,by_text_model,TFE-B,,,,,,,,
variant1,,25,0.4837,0.0485,0.4535,0.0518,0.439,0.0487,8.32,5.4292,1033.032,517.5005,1024,by_text_model,TFE-C,,,,,,,,
variant2,,30,0.489,0.0536,0.4444,0.067,0.4193,0.0704,9.3667,5.0616,1037.5533,579.6585,1024,by_text_model,TFE-C,,,,,,,,
variant3,,30,0.4764,0.0615,0.4445,0.0574,0.4269,0.057,7.8667,5.0565,692.0367,362.8276,1024,by_text_model,TFE-C,,,,,,,,
variant4,,30,0.4774,0.0554,0.4453,0.0543,0.4343,0.0522,11.6667,5.4351,527.71,216.5356,1024,by_text_model,TFE-C,,,,,,,,
variant1,,5,0.6106,0.006,0.5956,0.0106,0.5738,0.0121,10.0,3.873,1195.1,678.2818,1024,by_text_model,TFE-D,,,,,,,,
variant2,,6,0.6245,0.0084,0.5988,0.0089,0.5642,0.011,6.3333,2.3381,905.5,558.6915,1024,by_text_model,TFE-D,,,,,,,,
variant3,,6,0.612,0.0154,0.5976,0.0138,0.5698,0.0111,6.1667,0.7528,618.85,240.9653,1024,by_text_model,TFE-D,,,,,,,,
variant4,,6,0.6147,0.0087,0.5962,0.006,0.5677,0.0082,10.3333,3.3862,534.8667,212.527,1024,by_text_model,TFE-D,,,,,,,,
variant1,,5,0.586,0.0104,0.5589,0.0132,0.5399,0.0084,6.2,1.0954,901.68,333.5834,1024,by_text_model,TFE-E,,,,,,,,
variant2,,6,0.5724,0.0179,0.5457,0.0129,0.5319,0.0121,7.1667,2.6394,937.6333,563.0094,1024,by_text_model,TFE-E,,,,,,,,
variant3,,6,0.5801,0.0257,0.5489,0.0148,0.5363,0.0192,9.1667,6.4936,760.2667,488.0728,1024,by_text_model,TFE-E,,,,,,,,
variant4,,6,0.5644,0.0399,0.5375,0.0289,0.5172,0.0224,11.8333,8.7731,552.0,392.8034,1024,by_text_model,TFE-E,,,,,,,,
,,23,0.5977,0.022,0.5709,0.0168,0.5466,0.0142,6.2174,2.4855,703.7957,493.6363,768,by_text_config,,,,,,,,,TFE-A_cfg1
,,23,0.5478,0.0203,0.52,0.0179,0.501,0.015,7.0,3.3575,722.087,482.8123,768,by_text_config,,,,,,,,,TFE-A_cfg3
,,23,0.5743,0.0163,0.5469,0.0149,0.5226,0.0166,8.3913,3.0561,771.3957,450.552,1024,by_text_config,,,,,,,,,TFE-B_cfg1
,,23,0.5465,0.0234,0.5162,0.022,0.4996,0.0194,7.0435,3.7716,739.4609,504.5109,1024,by_text_config,,,,,,,,,TFE-B_cfg3
,,69,0.459,0.0581,0.4226,0.0592,0.4071,0.0598,10.5942,6.1795,857.8522,508.1598,1024,by_text_config,,,,,,,,,TFE-C_cfg1
,,23,0.5111,0.0243,0.4732,0.0352,0.4484,0.0406,7.7391,3.1074,763.1957,440.7114,1024,by_text_config,,,,,,,,,TFE-C_cfg3
,,23,0.5196,0.0217,0.4924,0.0183,0.4777,0.0147,7.2174,3.176,730.413,465.517,1024,by_text_config,,,,,,,,,TFE-C_cfg4
,,23,0.6156,0.0111,0.5971,0.0096,0.5687,0.0105,8.1304,3.2795,796.9913,494.6471,1024,by_text_config,,,,,,,,,TFE-D_cfg1
,,23,0.5753,0.0259,0.5473,0.0192,0.5309,0.018,8.6957,5.8031,782.9478,453.7579,1024,by_text_config,,,,,,,,,TFE-E_cfg1
variant1,,2,0.591,0.0468,0.5523,0.0507,0.5213,0.0416,4.5,0.7071,481.85,32.4562,768,by_model_text_dmodel_experts,TFE-A,,,,,,256.0,8.0,
variant1,,2,0.573,0.0382,0.5456,0.0426,0.523,0.0501,6.5,0.7071,685.9,10.3238,768,by_model_text_dmodel_experts,TFE-A,,,,,,256.0,16.0,
variant1,,2,0.5866,0.045,0.5597,0.0498,0.5312,0.0554,5.5,0.7071,757.6,24.3245,768,by_model_text_dmodel_experts,TFE-A,,,,,,512.0,8.0,
variant1,,2,0.5657,0.061,0.5514,0.052,0.532,0.037,4.5,0.7071,845.35,45.8912,768,by_model_text_dmodel_experts,TFE-A,,,,,,512.0,16.0,
variant1,,2,0.5692,0.0544,0.546,0.0503,0.5284,0.0346,5.0,1.4142,1411.35,98.0757,768,by_model_text_dmodel_experts,TFE-A,,,,,,1024.0,8.0,
variant1,,2,0.5534,0.0289,0.5272,0.023,0.5168,0.0257,6.0,4.2426,533.2,153.4422,1024,by_model_text_dmodel_experts,TFE-B,,,,,,256.0,8.0,
variant1,,2,0.5654,0.0235,0.5387,0.0222,0.5186,0.009,6.5,2.1213,673.6,81.7415,1024,by_model_text_dmodel_experts,TFE-B,,,,,,256.0,16.0,
variant1,,2,0.5435,0.0453,0.5288,0.0474,0.5177,0.032,7.5,0.7071,872.3,49.0732,1024,by_model_text_dmodel_experts,TFE-B,,,,,,512.0,8.0,
variant1,,2,0.5758,0.0125,0.5354,0.0252,0.5107,0.0163,4.0,0.0,815.15,5.0205,1024,by_model_text_dmodel_experts,TFE-B,,,,,,512.0,16.0,
variant1,,2,0.5527,0.0035,0.5222,0.0178,0.5102,0.0227,8.0,4.2426,1725.85,399.7275,1024,by_model_text_dmodel_experts,TFE-B,,,,,,1024.0,8.0,
variant1,,5,0.4804,0.06,0.4517,0.0611,0.4349,0.0533,9.2,6.1806,645.04,196.8752,1024,by_model_text_dmodel_experts,TFE-C,,,,,,256.0,8.0,
variant1,,5,0.4909,0.0564,0.4573,0.0574,0.4478,0.0546,6.8,3.7014,707.72,143.7589,1024,by_model_text_dmodel_experts,TFE-C,,,,,,256.0,16.0,
variant1,,5,0.4854,0.0511,0.4527,0.0533,0.4394,0.0556,8.8,5.9749,943.36,281.5662,1024,by_model_text_dmodel_experts,TFE-C,,,,,,512.0,8.0,
variant1,,5,0.4843,0.0426,0.4556,0.0529,0.4393,0.0508,7.8,4.5497,1070.88,250.6966,1024,by_model_text_dmodel_experts,TFE-C,,,,,,512.0,16.0,
variant1,,5,0.4777,0.0528,0.4502,0.058,0.4338,0.051,9.0,7.9687,1798.16,584.1322,1024,by_model_text_dmodel_experts,TFE-C,,,,,,1024.0,8.0,
variant1,,1,0.61,,0.5901,,0.5849,,6.0,,546.4,,1024,by_model_text_dmodel_experts,TFE-D,,,,,,256.0,8.0,
variant1,,1,0.6134,,0.6101,,0.5769,,9.0,,808.4,,1024,by_model_text_dmodel_experts,TFE-D,,,,,,256.0,16.0,
variant1,,1,0.6119,,0.5864,,0.563,,15.0,,1293.5,,1024,by_model_text_dmodel_experts,TFE-D,,,,,,512.0,8.0,
variant1,,1,0.6169,,0.6037,,0.5851,,7.0,,1022.8,,1024,by_model_text_dmodel_experts,TFE-D,,,,,,512.0,16.0,
variant1,,1,0.6008,,0.5878,,0.5592,,13.0,,2304.4,,1024,by_model_text_dmodel_experts,TFE-D,,,,,,1024.0,8.0,
variant1,,1,0.5966,,0.5649,,0.5348,,7.0,,584.8,,1024,by_model_text_dmodel_experts,TFE-E,,,,,,256.0,8.0,
variant1,,1,0.5778,,0.5627,,0.5449,,7.0,,720.0,,1024,by_model_text_dmodel_experts,TFE-E,,,,,,256.0,16.0,
variant1,,1,0.5981,,0.5672,,0.5495,,5.0,,757.8,,1024,by_model_text_dmodel_experts,TFE-E,,,,,,512.0,8.0,
